,time,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
0,0,0.07100000000000001,0.08600000000000001,0.074,0.027,0.04,0.017,0.048,0.018000000000000002,0.032,0.099,0.028,0.03,0.093,0.039,0.089,0.066,0.092,0.079,0.035,0.09,0.073
1,1,0.146,0.15,0.07,0.006,0.004,0.17,0.11,0.064,0.024,0.03,0.17200000000000001,0.06,0.03,0.022,0.14,0.10400000000000001,0.08600000000000001,0.108,0.17,0.064,0.074
2,2,0.28800000000000003,0.252,0.231,0.14400000000000002,0.195,0.108,0.045,0.23700000000000002,0.12,0.15,0.303,0.045,0.07200000000000001,0.258,0.177,0.192,0.078,0.276,0.21,0.195,0.066
3,3,0.004,0.044,0.07200000000000001,0.404,0.20400000000000001,0.368,0.096,0.312,0.28,0.14,0.128,0.328,0.316,0.128,0.316,0.156,0.048,0.156,0.112,0.276,0.388
4,4,0.46,0.315,0.025,0.08,0.465,0.34500000000000003,0.265,0.125,0.46,0.125,0.355,0.075,0.07,0.21,0.28,0.22,0.34,0.355,0.075,0.4,0.315
5,5,0.018000000000000002,0.138,0.354,0.114,0.41400000000000003,0.546,0.444,0.606,0.258,0.06,0.132,0.186,0.588,0.12,0.18,0.264,0.372,0.51,0.018000000000000002,0.132,0.594
6,6,0.686,0.609,0.147,0.6930000000000001,0.28,0.49,0.224,0.035,0.637,0.315,0.504,0.364,0.448,0.595,0.329,0.5670000000000001,0.497,0.539,0.525,0.497,0.273
7,7,0.328,0.328,0.168,0.10400000000000001,0.392,0.048,0.272,0.6880000000000001,0.12,0.056,0.496,0.72,0.768,0.304,0.76,0.192,0.272,0.496,0.224,0.808,0.024
8,8,0.639,0.468,0.342,0.063,0.63,0.41400000000000003,0.621,0.018000000000000002,0.261,0.5760000000000001,0.486,0.891,0.225,0.20700000000000002,0.459,0.621,0.63,0.126,0.585,0.522,0.189
9,9,0.39,0.29,0.8300000000000001,0.8,0.38,0.44,0.73,0.16,1.01,0.5700000000000001,0.77,0.1,0.07,0.92,0.21,0.84,0.01,0.71,0.87,0.8200000000000001,0.61
10,10,0.231,0.308,1.034,0.418,1.067,0.968,0.484,0.704,1.078,1.089,0.759,0.066,0.044,0.429,0.9460000000000001,0.649,1.012,0.627,0.363,0.022,0.605
11,11,0.876,0.048,1.212,0.168,0.07200000000000001,1.176,0.048,0.456,0.18,0.84,1.068,0.528,0.852,0.34800000000000003,1.188,0.28800000000000003,0.612,0.07200000000000001,1.164,0.036000000000000004,0.66
12,12,0.637,1.17,1.105,0.9490000000000001,0.546,0.7020000000000001,0.754,1.118,1.0010000000000001,0.78,0.741,0.676,1.222,0.299,0.975,0.28600000000000003,0.494,1.274,1.066,0.936,0.806
13,13,0.07,0.686,0.336,0.854,0.224,0.63,0.49,1.1340000000000001,0.014,0.728,0.784,0.364,0.168,1.26,1.162,0.588,1.232,0.812,0.966,1.078,1.33
14,14,0.78,1.26,1.155,0.42,0.3,1.095,0.585,1.245,0.33,1.17,0.315,0.765,0.54,0.705,0.135,1.095,0.42,0.585,1.395,0.42,1.44
15,15,0.56,1.04,0.464,0.544,0.784,0.656,0.496,1.024,1.328,0.656,0.736,1.024,1.088,1.6,0.304,1.3760000000000001,0.864,0.496,0.352,0.56,1.168
16,16,0.085,0.289,0.646,1.258,1.19,0.646,0.23800000000000002,0.6970000000000001,1.615,1.326,0.374,1.496,1.2750000000000001,0.40800000000000003,1.105,0.901,0.782,0.663,0.527,0.391,0.986
17,17,1.1340000000000001,0.756,0.54,0.8280000000000001,1.206,1.44,0.306,1.062,0.756,0.486,1.224,1.08,1.566,1.206,1.008,1.44,1.44,1.476,1.17,0.972,1.098
18,18,0.019,0.399,1.881,1.7670000000000001,0.741,1.881,0.665,0.741,0.8170000000000001,0.988,1.615,0.076,1.577,1.1400000000000001,1.4060000000000001,0.47500000000000003,0.019,0.399,0.589,1.919,1.843
19,19,0.22,1.8,0.3,0.14,1.32,1.16,0.34,0.1,0.08,0.46,1.44,1.34,0.9400000000000001,1.42,1.3800000000000001,1.18,0.32,1.6600000000000001,1.86,0.18,0.08
20,20,0.483,1.176,1.176,1.302,1.176,1.932,0.441,1.827,0.504,0.777,0.882,1.365,0.9450000000000001,1.47,0.9450000000000001,0.147,0.441,0.924,1.953,0.042,1.827
21,21,1.166,0.264,0.154,0.77,0.462,1.518,0.11,2.178,1.3860000000000001,2.134,2.068,0.594,0.99,0.682,0.374,1.584,0.198,1.364,0.792,1.232,1.276
22,22,2.185,2.323,1.6560000000000001,2.277,0.759,2.07,2.1390000000000002,1.518,0.736,1.288,0.184,2.001,0.391,0.23,0.989,0.437,2.116,1.3800000000000001,1.426,0.644,1.679
23,23,1.224,1.8960000000000001,0.312,0.264,0.72,1.3920000000000001,0.336,2.16,1.1280000000000001,1.6320000000000001,1.464,1.512,0.792,1.584,0.528,2.016,0.24,1.584,0.40800000000000003,0.792,1.824
24,24,1.675,0.325,0.375,2.125,1.85,0.25,1.825,2.0,1.575,1.225,0.3,0.975,0.3,0.625,1.2750000000000001,2.45,0.275,1.5,2.375,2.25,1.975
